animal,Is it a pet?,Is it faster than a human?,Is it in the cat family?,Is it a mammal?,Is it often eaten by humans?,Is it a pest?,Does it fly?,Is it furry?,Can it kill a human?,Does it live on land?,Is it stinky?,Does it eat ants?,Is it a carnivore?,Is it kept by humans?,Does it have a mane?,Is it often a household pet?,Does it make a distinctive noise?,Is it widely considered to be intelligent?,Is it often a pet?,Does it have four legs?,Do they build their own homes?,Is it smaller than a loaf of bread?,Does it swim?,Is it larger than a human?,Is it considered cute?,Does it have spots?
Rabbit,yes,,,yes,yes,,,,,yes,,,,,,,,,,yes,,,,,,
Frog,yes,,,no,yes,,,,,yes,,,,,,,,,,yes,,,,,,
Dog,yes,,,,no,,,,,yes,,,,yes,,,,,,yes,,,yes,,,
Cat,yes,,yes,,no,,,,,yes,,,,yes,,yes,,,,yes,,,no,,,
Rat,yes,,no,,no,yes,,,,yes,,,,yes,,yes,,,,yes,,,no,,,
Guinea Pig,yes,,no,,no,no,,,,yes,,,,yes,,yes,,,,yes,,,no,,,
Mouse,yes,,,,no,,,,,yes,,,,sometimes,,no,,,,yes,,,no,,,
Horse,no,,no,yes,sometimes,,no,yes,,yes,,,,yes,yes,,yes,,,yes,,,,yes,,
Deer,no,,,,yes,,,,,yes,,,,,no,,,,,yes,,,,yes,yes,
Cow,no,,,,yes,,,,,yes,,,,,no,,yes,,,yes,,,,yes,no,
Buffalo,no,,,,yes,,,,,yes,,,,,no,,no,,,yes,,,,yes,no,
Pegasus,no,,,yes,no,,yes,,,yes,,,,,,,,,,yes,,,,yes,,
Tiger,no,,yes,yes,no,,no,,,yes,,,,yes,,,,,,yes,,,,yes,,
Gorilla,no,yes,no,yes,no,,no,yes,,yes,,,yes,yes,,,no,,,sometimes,,,no,yes,,
Elephant,no,,no,yes,no,,no,no,,yes,,,,yes,,,,,,yes,,,,yes,,
Hippopotamus,no,,,yes,no,,no,,yes,yes,,,,no,,,,,,yes,,,,yes,,
Giraffe,no,,,yes,no,,no,,no,yes,,,,no,,,,,,yes,,,,yes,,
Dragon,no,,,no,no,,yes,,,sometimes,,,,,,,,,,yes,,,,yes,no,
Komodo dragon,no,,,no,no,,no,,,yes,,,,,,,,,,yes,,,,yes,,
Pig,no,,,,yes,,,,,yes,yes,,,,,,,,,yes,,,,no,yes,
Goat,no,,,,yes,,,,,yes,no,no,,,,,,,,yes,,,,no,sometimes,
Sheep,no,,,,no,,,,,yes,,,,,,,yes,,,yes,,,,no,yes,
Platypus,no,,,,no,,,,yes,yes,,,,,,,no,,,yes,,,,no,yes,
Beaver,no,,,,no,,,,no,sometimes,,,,,,,no,yes,,yes,yes,,yes,no,yes,
Fox,no,,,,no,,,,no,yes,,,,,,,no,yes,,yes,,,no,no,yes,
Koala,no,,,no,no,,no,,no,yes,,,no,,,,no,no,,sometimes,,,,no,yes,
Opossum,no,,,,,yes,,,,yes,,yes,,,,,,,,yes,,,,no,no,
Aardvark,no,,,,,no,,,,yes,,yes,,,,,,,,yes,,,,no,no,
Cheetah,no,,yes,,no,,,,,yes,,no,,,,,,,,yes,,,,no,no,
Wolf,no,,no,,no,,,,,yes,,no,,,,,,,,yes,,,,no,no,
Otter,,,,,,,,,,no,,,,,,,,,,yes,no,,,,yes,
Dolphin,,yes,,yes,,,,,,no,,,yes,,,,,,,sometimes,,,yes,sometimes,no,
Tyranosaurus rex,,yes,,no,,,,,,,,,yes,,,,,,,no,,,,yes,,
Bear,,no,,,,,,,,,,,yes,,,,,,,no,,,,yes,,
Bird,,,,,,,,,,,,,yes,,,,,,yes,no,,,,no,yes,
Duck,,,,,yes,,yes,,,,,,yes,,,,,,no,no,,,,no,yes,
Bat,,,,yes,no,,yes,,,,,,sometimes,,,,,,no,no,,,,no,yes,
Owl,,,,no,no,,yes,,,,,,yes,,,,,,no,no,,,,no,yes,
Marmot,,,,,,,no,,,,,,yes,,,,,,no,no,,yes,,no,yes,
Monkey,,,,yes,,,no,,,,,,yes,,,,,,no,no,,no,,no,yes,
Penguin,,,,no,,,no,,,,,,yes,,,,,,no,no,,no,,no,yes,
Human,,,,yes,,,no,,yes,,,,sometimes,,,,,,,no,,,,no,no,
Snake,,,,no,sometimes,,no,,yes,,,,yes,,,,yes,,,no,,,sometimes,no,no,
Jellyfish,,,,no,yes,,no,,yes,,,,sometimes,,,,no,,,no,,,yes,no,no,
Octopus,,,,no,yes,,,,no,,,,yes,,,,,,,no,,,yes,no,no,
Scorpion,,,,no,yes,,,,,,,,yes,,,,,,,no,,,no,no,no,
Hawk,,,,no,no,,yes,,,,,,yes,yes,,,,,,no,,,,no,no,
Eagle,,,,no,no,,yes,,,,,,yes,no,,,,,,no,,,,no,no,
Cobra,,,,no,no,,no,,,,,,yes,,,,,,,no,,,yes,no,no,
Spider,,,,no,no,,no,,yes,,,,yes,,,,no,,,no,,,no,no,no,
Cockroach,,,,no,no,yes,no,,no,,,,yes,,,,no,,,no,,yes,no,no,no,
Starfish,,,,no,no,no,no,,no,,,,yes,,,,no,,,no,,yes,no,no,no,
Emu,,,,no,no,,no,,no,,,,yes,,,,no,,,no,,no,no,no,no,
Kangaroo,,,,yes,,,no,,,,,,no,,,,,,,no,,,,yes,,
Sloth,,,,yes,,,no,,no,,,,no,,,,,,,no,,,,no,,
Chicken,,,,no,yes,,yes,,,,,,no,,,yes,,,,no,,,,,,
Turkey,,,,no,yes,,yes,,,,,,no,,,no,,,,no,,,,,,
Butterfly,,,,no,no,,yes,,,,,,no,,,,,,,no,,yes,,,,yes
Firefly,,,,no,no,,yes,,,,,,no,,,,,,,no,,yes,,,,no
Parrot,,,,no,no,,yes,,,,,,no,,,,,yes,,no,,no,,,,
Flamingo,,,,no,no,,yes,,,,,,no,,,,,no,,no,,no,,,,
